Z, N, experiment, MC, EO, MC-EO, warning
70,103,2003,1399.130965,1399.129888,0.001077,
74,106,2003,1444.589053,1444.58784,0.001213,
75,104,2003,1432.677137,1432.675904,0.001233,
21,28,2003,425.617951,425.617626,0.000325,
80,125,2003,1614.321022,1614.319855,0.001167,
63,76,2003,1138.024276,1138.023302,0.000974,
29,44,2003,625.505143,625.504661,0.000482,
33,41,2003,642.320501,642.32,0.000501,
72,92,2003,1319.189697,1319.188612,0.001085,
92,135,2003,1731.192552,1731.191211,0.001341,
41,57,2003,842.442046,842.441418,0.000628,
88,124,2003,1642.465508,1642.464064,0.001444,
76,88,2003,1284.698485,1284.69728,0.001205,
45,61,2003,906.716188,906.71552,0.000668,
67,80,2003,1189.904894,1189.903848,0.001046,
49,58,2003,908.856273,908.855539,0.000734,
86,129,2003,1669.22128,1669.22001,0.00127,
13,20,2003,264.712538,264.712338,0.0002,
3,2,2003,26.330704,26.33066,4.4e-05,
60,81,2003,1175.31372,1175.312832,0.000888,
70,94,2003,1329.955538,1329.954392,0.001146,
90,130,2003,1690.611017,1690.60958,0.001437,
53,62,2003,963.075704,963.07486,0.000844,
71,100,2003,1382.483256,1382.482161,0.001095,
75,97,2003,1371.114944,1371.113824,0.00112,
80,116,2003,1551.218347,1551.217108,0.001239,
48,77,2003,1044.721285,1044.7205,0.000785,
29,37,2003,576.277597,576.277152,0.000445,
33,34,2003,571.609119,571.608624,0.000495,
73,91,2003,1309.868624,1309.867508,0.001116,
36,41,2003,663.496931,663.496372,0.000559,
54,87,2003,1164.136741,1164.135903,0.000838,
9,9,2003,137.369024,137.36889,0.000134,
84,128,2003,1655.772838,1655.771516,0.001322,
37,54,2003,783.288929,783.288324,0.000605,
24,21,2003,363.39853,363.398175,0.000355,
45,54,2003,849.429879,849.429207,0.000672,
66,93,2003,1300.879041,1300.878057,0.000984,
49,51,2003,832.967299,832.9666,0.000699,
67,89,2003,1272.063829,1272.062844,0.000985,
13,13,2003,211.894245,211.894046,0.000199,
45,71,2003,971.803681,971.802992,0.000689,
70,81,2003,1205.549605,1205.548515,0.00109,
90,141,2003,1760.247182,1760.245872,0.00131,
71,93,2003,1322.792859,1322.791692,0.001167,
75,102,2003,1416.217459,1416.216294,0.001165,
93,144,2003,1795.272093,1795.270734,0.001359,
80,107,2003,1474.867661,1474.866382,0.001279,
7,15,2003,140.053987,140.05387,0.000117,
48,68,2003,987.440282,987.43956,0.000722,
16,29,2003,353.944649,353.944395,0.000254,
73,92,2003,1320.512248,1320.51117,0.001078,
94,145,2003,1806.915794,1806.914329,0.001465,
24,28,2003,456.349471,456.349088,0.000383,
10,19,2003,208.187008,208.186853,0.000155,
66,84,2003,1228.380658,1228.3797,0.000958,
67,94,2003,1314.26871,1314.267633,0.001077,
83,132,2003,1668.751168,1668.749805,0.001363,
64,98,2003,1321.771474,1321.770474,0.001,
45,64,2003,929.579332,929.578596,0.000736,
84,109,2003,1500.40828,1500.406897,0.001383,
71,90,2003,1296.498879,1296.497741,0.001138,
57,69,2003,1047.366539,1047.365676,0.000863,
80,98,2003,1390.424788,1390.423504,0.001284,
26,34,2003,525.350247,525.34986,0.000387,
7,4,2003,59.004597,59.004495,0.000102,
16,20,2003,308.714191,308.713932,0.000259,
94,152,2003,1846.609706,1846.608348,0.001358,
41,44,2003,721.135489,721.1349,0.000589,
22,30,2003,451.962041,451.961692,0.000349,
51,71,2003,1033.131973,1033.131136,0.000837,
37,56,2003,794.303767,794.303235,0.000532,
42,53,2003,821.624704,821.62403,0.000674,
84,116,2003,1565.502094,1565.5008,0.001294,
87,137,2003,1718.255044,1718.2536,0.001444,
57,78,2003,1131.685444,1131.684615,0.000829,
58,68,2003,1042.431296,1042.430382,0.000914,
99,154,2003,1885.578759,1885.577122,0.001637,
63,96,2003,1300.105865,1300.10484,0.001025,
54,56,2003,897.50363,897.50276,0.00087,
61,74,2003,1111.883156,1111.882275,0.000881,
51,76,2003,1071.858488,1071.857648,0.00084,
34,44,2003,679.989558,679.989024,0.000534,
52,70,2003,1034.333493,1034.332714,0.000779,
42,60,2003,873.973909,873.97323,0.000679,
55,72,2003,1068.269075,1068.268247,0.000828,
84,115,2003,1555.69125,1555.689863,0.001387,
50,63,2003,961.275309,961.274502,0.000807,
87,134,2003,1702.420054,1702.418692,0.001362,
57,87,2003,1192.569241,1192.5684,0.000841,
58,79,2003,1146.273788,1146.272835,0.000953,
4,7,2003,65.481101,65.481042,5.9e-05,
46,51,2003,824.729758,824.729017,0.000741,
68,100,2003,1365.779491,1365.778512,0.000979,
94,138,2003,1760.640912,1760.639416,0.001496,
62,83,2003,1202.494183,1202.493265,0.000918,
34,39,2003,630.824525,630.824025,0.0005,
52,77,2003,1087.521871,1087.521084,0.000787,
37,42,2003,679.491153,679.490613,0.00054,
10,12,2003,177.770378,177.77023,0.000148,
85,131,2003,1674.649107,1674.647784,0.001323,
55,65,2003,999.418493,999.4176,0.000893,
38,59,2003,821.977289,821.976739,0.00055,
84,122,2003,1615.15725,1615.155978,0.001272,
85,116,2003,1566.626084,1566.624753,0.001331,
50,54,2003,871.892036,871.89128,0.000756,
57,88,2003,1198.73495,1198.733995,0.000955,
58,86,2003,1197.331449,1197.33048,0.000969,
46,58,2003,892.819786,892.819096,0.00069,
68,99,2003,1358.008175,1358.007093,0.001082,
72,102,2003,1403.927961,1403.92683,0.001131,
19,20,2003,333.724081,333.72378,0.000301,
94,141,2003,1781.036715,1781.035155,0.00156,
22,35,2003,476.397696,476.397336,0.00036,
61,92,2003,1257.873985,1257.872976,0.001009,
62,90,2003,1253.104436,1253.103504,0.000932,
30,35,2003,567.077271,567.076835,0.000436,
52,84,2003,1131.443126,1131.442344,0.000782,
76,114,2003,1512.799415,1512.79824,0.001175,
42,46,2003,750.118075,750.117456,0.000619,
81,121,2003,1593.02051,1593.019268,0.001242,
49,80,2003,1075.804482,1075.803756,0.000726,
38,50,2003,768.469059,768.468448,0.000611,
97,153,2003,1868.991799,1868.99025,0.001549,
25,31,2003,489.345186,489.3448,0.000386,
64,78,2003,1163.017341,1163.016352,0.000989,
85,125,2003,1640.450279,1640.44902,0.001259,
89,122,2003,1626.215482,1626.214136,0.001346,
58,81,2003,1163.490367,1163.489492,0.000875,
101,157,2003,1911.696196,1911.694602,0.001594,
46,61,2003,916.011289,916.010629,0.00066,
69,100,2003,1371.351707,1371.350669,0.001038,
72,109,2003,1451.992444,1451.991412,0.001032,
73,97,2003,1365.151395,1365.15032,0.001075,
19,29,2003,404.682866,404.682576,0.00029,
61,85,2003,1210.149977,1210.149032,0.000945,
62,93,2003,1272.746864,1272.74592,0.000944,
30,42,2003,625.796277,625.795848,0.000429,
52,83,2003,1126.774234,1126.77345,0.000784,
17,23,2003,337.110864,337.1106,0.000264,
76,105,2003,1445.004162,1445.003002,0.00116,
77,117,2003,1538.125308,1538.12415,0.001158,
23,25,2003,413.904984,413.904624,0.00036,
81,114,2003,1538.693039,1538.691765,0.001274,
82,128,2003,1645.553741,1645.55244,0.001301,
49,73,2003,1029.943823,1029.943032,0.000791,
55,87,2003,1173.61392,1173.613102,0.000818,
38,53,2003,788.406552,788.405982,0.00057,
97,146,2003,1826.752767,1826.751285,0.001482,
43,58,2003,867.898627,867.897949,0.000678,
11,21,2003,230.612031,230.611872,0.000159,
58,88,2003,1208.712592,1208.711662,0.00093,
96,155,2003,1874.149203,1874.147724,0.001479,
46,68,2003,967.639585,967.63884,0.000745,
68,81,2003,1203.169334,1203.168295,0.001039,
73,106,2003,1438.021905,1438.020844,0.001061,
27,34,2003,534.125821,534.125394,0.000427,
30,45,2003,644.347874,644.347425,0.000449,
34,48,2003,712.842752,712.842236,0.000516,
55,63,2003,977.796585,977.79579,0.000795,
76,96,2003,1366.04742,1366.046188,0.001232,
77,110,2003,1488.812576,1488.811346,0.00123,
23,22,2003,377.095274,377.094915,0.000359,
81,107,2003,1476.385532,1476.384304,0.001228,
82,123,2003,1614.23895,1614.23765,0.0013,
49,66,2003,979.403855,979.403135,0.00072,
50,80,2003,1090.293623,1090.29284,0.000783,
35,51,2003,742.391253,742.3907,0.000553,
74,90,2003,1304.037237,1304.03616,0.001077,
75,88,2003,1282.956653,1282.955559,0.001094,
38,44,2003,708.127796,708.127236,0.00056,
43,51,2003,809.217522,809.21686,0.000662,
64,92,2003,1281.598474,1281.597408,0.001066,
11,10,2003,163.076173,163.076004,0.000169,
90,122,2003,1628.618359,1628.617072,0.001287,
96,146,2003,1823.349741,1823.348274,0.001467,
78,102,2003,1426.251202,1426.24998,0.001222,
43,64,2003,909.093563,909.092865,0.000698,
47,71,2003,995.211498,995.21082,0.000678,
68,88,2003,1270.139766,1270.13874,0.001026,
69,86,2003,1253.708633,1253.70758,0.001053,
5,4,2003,56.314515,56.31444,7.5e-05,
62,79,2003,1165.489837,1165.488939,0.000898,
47,52,2003,839.048554,839.047869,0.000685,
77,103,2003,1430.575103,1430.57394,0.001163,
81,108,2003,1486.712327,1486.711044,0.001283,
82,114,2003,1543.187752,1543.1864,0.001352,
50,75,2003,1055.696619,1055.695875,0.000744,
35,56,2003,768.616595,768.61603,0.000565,
38,39,2003,649.566885,649.566302,0.000583,
64,83,2003,1211.777479,1211.776566,0.000913,
65,91,2003,1278.371464,1278.370392,0.001072,
14,12,2003,206.046235,206.046022,0.000213,
39,60,2003,838.750407,838.74978,0.000627,
78,105,2003,1451.801638,1451.800488,0.00115,
79,101,2003,1416.629319,1416.62808,0.001239,
69,95,2003,1331.603617,1331.602592,0.001025,
2,8,2003,30.33931,30.33927,4e-05,
24,37,2003,515.755052,515.754695,0.000357,
61,96,2003,1281.84802,1281.847067,0.000953,
102,153,2003,1891.534538,1891.53288,0.001658,
47,61,2003,922.534516,922.53384,0.000676,
30,31,2003,525.22588,525.225433,0.000447,
20,17,2003,296.153861,296.15355,0.000311,
77,96,2003,1366.370287,1366.369051,0.001236,
23,36,2003,495.280658,495.280279,0.000379,
81,101,2003,1418.961887,1418.960634,0.001253,
82,109,2003,1497.71643,1497.715231,0.001199,
50,66,2003,988.684331,988.683544,0.000787,
31,36,2003,583.405658,583.40518,0.000478,
18,27,2003,378.8979,378.897615,0.000285,
91,140,2003,1759.856405,1759.85502,0.001385,
75,86,2003,1261.682804,1261.681652,0.001152,
40,52,2003,799.721807,799.721224,0.000583,
65,92,2003,1287.115888,1287.114888,0.001,
14,23,2003,294.266098,294.265884,0.000214,
39,53,2003,796.863585,796.862968,0.000617,
78,112,2003,1509.851845,1509.85058,0.001265,
98,156,2003,1892.10534,1892.103912,0.001428,
26,26,2003,447.699486,447.699096,0.00039,
44,64,2003,920.952558,920.951856,0.000702,
79,98,2003,1388.369156,1388.367999,0.001157,
83,103,2003,1439.500777,1439.49957,0.001207,
69,88,2003,1271.925203,1271.924196,0.001007,
56,67,2003,1024.616429,1024.615584,0.000845,
2,3,2003,27.40569,27.40566,3e-05,
66,100,2003,1350.794908,1350.793958,0.00095,
47,58,2003,897.786718,897.786015,0.000703,
20,24,2003,380.959806,380.95948,0.000326,
59,79,2003,1150.815741,1150.814844,0.000897,
82,100,2003,1411.654682,1411.653516,0.001166,
28,40,2003,590.408107,590.407688,0.000419,
32,43,2003,652.170612,652.17015,0.000462,
31,45,2003,655.464476,655.463976,0.0005,
35,38,2003,625.453486,625.452977,0.000509,
18,18,2003,306.716989,306.716724,0.000265,
91,133,2003,1712.91268,1712.9112,0.00148,
40,59,2003,845.535623,845.535042,0.000581,
8,4,2003,58.549196,58.54908,0.000116,
65,85,2003,1230.956581,1230.95565,0.000931,
53,65,2003,991.922908,991.922042,0.000866,
39,50,2003,775.538053,775.537456,0.000597,
95,145,2003,1811.282871,1811.28144,0.001431,
78,123,2003,1585.054031,1585.052835,0.001196,
98,151,2003,1863.363896,1863.362367,0.001529,
44,63,2003,913.13123,913.13051,0.00072,
79,107,2003,1471.175671,1471.17444,0.001231,
83,108,2003,1489.92822,1489.927015,0.001205,
48,58,2003,905.14021,905.139512,0.000698,
12,16,2003,231.627546,231.627368,0.000178,
56,74,2003,1092.722279,1092.72137,0.000909,
62,96,2003,1291.976248,1291.975322,0.000926,
86,122,2003,1621.201457,1621.200048,0.001409,
89,134,2003,1712.449813,1712.448443,0.00137,
52,62,2003,961.337492,961.336692,0.0008,
60,78,2003,1148.91997,1148.919,0.00097,
28,39,2003,582.615654,582.61525,0.000404,
32,34,2003,569.296751,569.296266,0.000485,
31,42,2003,634.653217,634.652729,0.000488,
35,47,2003,711.962876,711.962376,0.0005,
8,11,2003,143.761506,143.761391,0.000115,
63,80,2003,1179.153869,1179.152832,0.001037,
53,74,2003,1072.576846,1072.576087,0.000759,
36,54,2003,773.224467,773.22393,0.000537,
54,72,2003,1063.908606,1063.907712,0.000894,
39,43,2003,699.529472,699.52888,0.000592,
79,112,2003,1513.626705,1513.625531,0.001174,
44,54,2003,844.790969,844.790282,0.000687,
83,117,2003,1569.700007,1569.6988,0.001207,
12,15,2003,223.124238,223.124058,0.00018,
56,81,2003,1149.681128,1149.680299,0.000829,
86,125,2003,1644.52299,1644.521551,0.001439,
89,143,2003,1763.769804,1763.7684,0.001404,
59,93,2003,1244.490732,1244.489816,0.000916,
6,9,2003,106.502626,106.502535,9.1e-05,
88,134,2003,1708.665982,1708.664514,0.001468,
70,106,2003,1419.28277,1419.2816,0.00117,
91,147,2003,1799.012404,1799.01106,0.001344,
40,41,2003,680.971912,680.971293,0.000619,
63,89,2003,1250.447835,1250.446848,0.000987,
53,83,2003,1135.734877,1135.734096,0.000781,
54,67,2003,1016.856256,1016.855444,0.000812,
79,121,2003,1579.728153,1579.727,0.001153,
83,122,2003,1610.748196,1610.74691,0.001286,
56,88,2003,1190.228083,1190.227248,0.000835,
27,28,2003,476.827049,476.826625,0.000424,
67,101,2003,1363.631824,1363.6308,0.001024,
86,116,2003,1569.40059,1569.399206,0.001384,
87,126,2003,1654.677585,1654.676229,0.001356,
91,123,2003,1636.584343,1636.582976,0.001367,
59,82,2003,1177.919066,1177.918089,0.000977,
60,92,2003,1250.058399,1250.057424,0.000975,
25,38,2003,535.285852,535.285485,0.000367,
32,48,2003,690.185943,690.18544,0.000503,
88,141,2003,1746.923716,1746.922378,0.001338,
74,96,2003,1361.524761,1361.52354,0.001221,
75,114,2003,1504.782039,1504.780956,0.001083,
93,132,2003,1711.698927,1711.6974,0.001527,
21,18,2003,312.520425,312.520104,0.000321,
48,80,2003,1062.865703,1062.864896,0.000807,
72,86,2003,1261.044367,1261.043188,0.001179,
36,36,2003,606.911818,606.911256,0.000562,
92,137,2003,1745.146576,1745.145109,0.001467,
41,55,2003,828.374559,828.37392,0.000639,
88,118,2003,1590.2811,1590.27983,0.00127,
15,16,2003,262.916744,262.916518,0.000226,
41,64,2003,886.265377,886.264785,0.000592,
13,26,2003,283.214651,283.214451,0.0002,
87,119,2003,1595.871063,1595.86964,0.001423,
60,91,2003,1242.781916,1242.781038,0.000878,
70,100,2003,1378.129686,1378.12863,0.001056,
74,107,2003,1451.269846,1451.268679,0.001167,
75,107,2003,1455.752397,1455.751206,0.001191,
21,27,2003,415.490366,415.490064,0.000302,
80,126,2003,1621.050355,1621.04902,0.001335,
63,79,2003,1168.160048,1168.159024,0.001024,
29,43,2003,618.230229,618.2298,0.000429,
33,40,2003,634.345917,634.345399,0.000518,
72,93,2003,1327.074981,1327.07388,0.001101,
36,35,2003,591.822904,591.822346,0.000558,
41,56,2003,836.447825,836.447199,0.000626,
9,7,2003,111.419835,111.419696,0.000139,
88,125,2003,1649.987748,1649.986395,0.001353,
15,25,2003,319.224558,319.22432,0.000238,
45,60,2003,900.129033,900.128355,0.000678,
49,57,2003,897.831829,897.83113,0.000699,
67,83,2003,1220.229278,1220.22825,0.001028,
86,134,2003,1697.795869,1697.79456,0.001309,
13,19,2003,259.173809,259.1736,0.000209,
3,5,2003,41.2767,41.276656,4.4e-05,
60,82,2003,1185.142354,1185.141372,0.000982,
70,95,2003,1337.291364,1337.29035,0.001014,
90,131,2003,1696.413297,1696.411912,0.001385,
71,103,2003,1404.438947,1404.437868,0.001079,
75,96,2003,1362.770663,1362.769452,0.001211,
80,117,2003,1558.003961,1558.002671,0.00129,
48,78,2003,1051.761485,1051.760682,0.000803,
29,36,2003,569.211666,569.21124,0.000426,
33,33,2003,558.392295,558.391812,0.000483,
73,90,2003,1301.055583,1301.054427,0.001156,
36,42,2003,675.578533,675.577968,0.000565,
54,84,2003,1151.746775,1151.74593,0.000845,
78,94,2003,1348.345715,1348.344464,0.001251,
9,8,2003,128.219706,128.219576,0.00013,
84,129,2003,1660.128136,1660.126899,0.001237,
37,53,2003,776.834,776.83347,0.00053,
77,94,2003,1346.385888,1346.384745,0.001143,
24,22,2003,381.978372,381.97802,0.000352,
42,64,2003,898.956787,898.956108,0.000679,
45,53,2003,838.958982,838.958302,0.00068,
66,90,2003,1278.02144,1278.020484,0.000956,
67,88,2003,1264.677633,1264.67662,0.001013,
13,12,2003,200.52879,200.5286,0.00019,
45,70,2003,967.204973,967.20428,0.000693,
70,86,2003,1257.626769,1257.625668,0.001101,
90,138,2003,1743.078318,1743.076872,0.001446,
71,92,2003,1314.87058,1314.869492,0.001088,
57,67,2003,1026.509046,1026.508208,0.000838,
80,108,2003,1485.022905,1485.021588,0.001317,
7,14,2003,138.770181,138.770079,0.000102,
48,69,2003,993.217509,993.216744,0.000765,
94,150,2003,1836.056706,1836.055348,0.001358,
41,42,2003,696.802287,696.801683,0.000604,
51,65,2003,983.195067,983.194308,0.000759,
37,62,2003,820.993019,820.992447,0.000572,
24,29,2003,464.288596,464.288215,0.000381,
10,16,2003,201.601324,201.601166,0.000158,
66,85,2003,1235.893622,1235.892569,0.001053,
60,96,2003,1272.715846,1272.714924,0.000922,
84,110,2003,1511.124733,1511.123424,0.001309,
71,85,2003,1247.329869,1247.328732,0.001137,
57,68,2003,1038.081142,1038.08025,0.000892,
80,99,2003,1399.100909,1399.099621,0.001288,
26,35,2003,530.931123,530.930702,0.000421,
7,7,2003,104.658702,104.658596,0.000106,
16,21,2003,313.017793,313.017558,0.000235,
22,31,2003,457.397361,457.396996,0.000365,
51,70,2003,1026.325591,1026.324783,0.000808,
37,39,2003,644.953669,644.9531,0.000569,
42,50,2003,796.508262,796.507664,0.000598,
84,117,2003,1573.143844,1573.14258,0.001264,
87,136,2003,1713.457083,1713.455734,0.001349,
71,82,2003,1217.773976,1217.7729,0.001076,
57,77,2003,1122.182265,1122.181392,0.000873,
58,69,2003,1051.657667,1051.656774,0.000893,
26,42,2003,571.637131,571.636696,0.000435,
16,12,2003,209.406369,209.40612,0.000249,
22,22,2003,375.475119,375.474792,0.000327,
61,73,2003,1100.573033,1100.57215,0.000883,
51,79,2003,1091.663946,1091.66317,0.000776,
34,45,2003,686.952392,686.951847,0.000545,
52,71,2003,1041.262677,1041.261912,0.000765,
42,61,2003,879.334782,879.334175,0.000607,
55,75,2003,1093.143433,1093.14257,0.000863,
65,101,2003,1346.747241,1346.746214,0.001027,
84,124,2003,1630.587663,1630.586256,0.001407,
50,60,2003,934.572204,934.57144,0.000764,
87,129,2003,1672.362782,1672.361424,0.001358,
57,86,2003,1187.792549,1187.791605,0.000944,
58,76,2003,1121.017264,1121.016396,0.000868,
68,101,2003,1371.782761,1371.781788,0.000973,
72,96,2003,1355.013979,1355.012904,0.001075,
94,139,2003,1767.025967,1767.024468,0.001499,
62,80,2003,1176.615381,1176.614414,0.000967,
51,84,2003,1119.436567,1119.435795,0.000772,
34,36,2003,600.439145,600.43865,0.000495,
52,78,2003,1095.941418,1095.94056,0.000858,
37,41,2003,667.552701,667.552158,0.000543,
76,116,2003,1526.116231,1526.115072,0.001159,
10,13,2003,182.971026,182.970865,0.000161,
85,130,2003,1670.090162,1670.088825,0.001337,
55,64,2003,989.763587,989.762746,0.000841,
38,56,2003,807.815657,807.815038,0.000619,
84,123,2003,1622.192678,1622.191311,0.001367,
85,115,2003,1556.753009,1556.7516,0.001409,
50,55,2003,881.634255,881.633445,0.00081,
58,87,2003,1202.062617,1202.061745,0.000872,
96,142,2003,1796.473773,1796.472314,0.001459,
46,59,2003,899.913887,899.91321,0.000677,
72,103,2003,1410.6365,1410.63545,0.00105,
19,23,2003,359.15258,359.15229,0.00029,
22,32,2003,464.234234,464.233896,0.000338,
61,91,2003,1250.380281,1250.37936,0.000921,
62,91,2003,1258.972835,1258.971822,0.001013,
30,32,2003,538.123149,538.122676,0.000473,
52,85,2003,1134.650454,1134.649618,0.000836,
17,29,2003,372.689214,372.688964,0.00025,
76,115,2003,1518.55814,1518.55696,0.00118,
42,47,2003,760.493194,760.49254,0.000654,
81,120,2003,1586.147949,1586.146677,0.001272,
55,89,2003,1182.511407,1182.510576,0.000831,
38,51,2003,774.827778,774.827236,0.000542,
97,152,2003,1864.022229,1864.020723,0.001506,
25,30,2003,482.074738,482.07434,0.000398,
64,79,2003,1172.361536,1172.360618,0.000918,
85,124,2003,1633.286766,1633.285467,0.001299,
89,121,2003,1616.559552,1616.55816,0.001392,
101,156,2003,1906.316849,1906.315233,0.001616,
46,66,2003,954.336683,954.335984,0.000699,
69,99,2003,1363.31809,1363.316976,0.001114,
72,110,2003,1458.710441,1458.709252,0.001189,
73,96,2003,1357.232842,1357.231733,0.001109,
19,28,2003,400.183885,400.183568,0.000317,
61,84,2003,1203.892541,1203.891645,0.000896,
27,44,2003,595.813946,595.81354,0.000406,
30,43,2003,631.146558,631.146101,0.000457,
34,54,2003,747.554786,747.55428,0.000506,
17,22,2003,331.281939,331.281678,0.000261,
76,106,2003,1454.13162,1454.130496,0.001124,
77,116,2003,1532.058518,1532.057353,0.001165,
