Z, N, experiment, who missed, value
0,1,2003,Erik,1e-06
1,2,2003,Erik,8.481815
1,3,2003,Erik,5.601421
3,1,2003,Erik,4.615087
2,1,2003,Erik,7.718073
1,4,2003,Erik,6.681816
1,5,2003,Erik,5.781817
1,0,2003,Erik,1.4e-05
1,1,2003,Erik,2.224581
32,54,2016,Erik,718.498604
70,103,2016,Erik,1399.125908
74,106,2016,Erik,1444.580691
75,104,2016,Erik,1432.675205
21,28,2016,Erik,425.626848
80,125,2016,Erik,1614.321265
63,76,2016,Erik,1138.024248
29,44,2016,Erik,625.505985
33,41,2016,Erik,642.320588
72,92,2016,Erik,1319.186661
54,92,2016,Erik,1184.121371
92,135,2016,Erik,1731.16906
41,57,2016,Erik,842.438097
88,124,2016,Erik,1642.473054
76,88,2016,Erik,1284.66093
45,61,2016,Erik,906.717337
49,58,2016,Erik,908.860957
67,80,2016,Erik,1189.824509
13,20,2016,Erik,264.680541
86,129,2016,Erik,1669.221267
3,2,2016,Erik,26.330704
60,81,2016,Erik,1175.308471
70,94,2016,Erik,1329.95024
53,62,2016,Erik,963.075704
71,100,2016,Erik,1382.478109
90,130,2016,Erik,1690.610863
75,97,2016,Erik,1371.128806
80,116,2016,Erik,1551.217605
48,77,2016,Erik,1044.710846
29,37,2016,Erik,576.277595
33,34,2016,Erik,571.548534
73,91,2016,Erik,1309.868623
36,41,2016,Erik,663.496931
54,87,2016,Erik,1164.007138
9,9,2016,Erik,137.369612
84,128,2016,Erik,1655.772905
37,54,2016,Erik,783.288643
77,95,2016,Erik,1355.406403
24,21,2016,Erik,363.948111
42,67,2016,Erik,913.581659
45,54,2016,Erik,849.436785
66,93,2016,Erik,1300.872699
49,51,2016,Erik,833.110442
67,89,2016,Erik,1272.188242
13,13,2016,Erik,211.894087
45,71,2016,Erik,971.804011
84,102,2016,Erik,1431.448179
70,81,2016,Erik,1205.548031
71,93,2016,Erik,1322.792859
90,141,2016,Erik,1760.248569
75,102,2016,Erik,1416.217459
93,144,2016,Erik,1795.273709
80,107,2016,Erik,1474.867733
7,15,2016,Erik,140.327861
48,68,2016,Erik,987.43337
16,29,2016,Erik,354.681566
73,92,2016,Erik,1320.504994
94,145,2016,Erik,1806.917389
41,43,2016,Erik,707.133765
106,156,2016,Erik,1923.392215
37,63,2016,Erik,824.432531
24,28,2016,Erik,456.35178
45,47,2016,Erik,770.355346
10,19,2016,Erik,207.845088
66,84,2016,Erik,1228.373303
67,94,2016,Erik,1314.263137
83,132,2016,Erik,1668.770383
64,98,2016,Erik,1321.764585
45,64,2016,Erik,929.568119
84,109,2016,Erik,1500.373696
71,90,2016,Erik,1296.498879
57,69,2016,Erik,1047.366539
80,98,2016,Erik,1390.423843
26,34,2016,Erik,525.351432
7,4,2016,Erik,59.004607
16,20,2016,Erik,308.714247
72,113,2016,Erik,1475.185632
94,152,2016,Erik,1846.610095
41,44,2016,Erik,720.266042
22,30,2016,Erik,451.967024
51,71,2016,Erik,1033.137168
37,56,2016,Erik,794.306143
42,53,2016,Erik,821.62907
80,128,2016,Erik,1629.512885
84,116,2016,Erik,1565.489364
87,137,2016,Erik,1718.163618
57,78,2016,Erik,1131.678249
58,68,2016,Erik,1042.431296
99,154,2016,Erik,1885.581918
63,96,2016,Erik,1300.095849
33,53,2016,Erik,727.278491
54,56,2016,Erik,897.521609
61,74,2016,Erik,1111.957675
30,49,2016,Erik,667.596417
51,76,2016,Erik,1071.857865
34,44,2016,Erik,679.989416
52,70,2016,Erik,1034.333925
42,60,2016,Erik,873.982499
10,5,2016,Erik,73.031065
55,72,2016,Erik,1068.269209
84,115,2016,Erik,1555.684769
85,107,2016,Erik,1480.268873
50,63,2016,Erik,961.270402
87,134,2016,Erik,1702.42099
57,87,2016,Erik,1192.526446
58,79,2016,Erik,1146.313823
4,7,2016,Erik,65.477998
46,51,2016,Erik,824.736359
68,100,2016,Erik,1365.773931
94,138,2016,Erik,1760.643306
62,83,2016,Erik,1202.487764
51,85,2016,Erik,1122.307129
34,39,2016,Erik,630.83427
52,77,2016,Erik,1087.523497
37,42,2016,Erik,679.490776
10,12,2016,Erik,177.770382
85,131,2016,Erik,1674.649691
55,65,2016,Erik,999.418469
38,59,2016,Erik,821.770634
25,22,2016,Erik,382.359989
84,122,2016,Erik,1615.164185
85,116,2016,Erik,1566.626026
50,54,2016,Erik,871.927456
57,88,2016,Erik,1198.583428
58,86,2016,Erik,1197.32633
96,141,2016,Erik,1788.551284
46,58,2016,Erik,892.824846
68,99,2016,Erik,1358.002622
72,102,2016,Erik,1403.925816
19,20,2016,Erik,333.72426
94,141,2016,Erik,1781.037989
22,35,2016,Erik,476.769426
61,92,2016,Erik,1257.837146
62,90,2016,Erik,1253.098274
30,35,2016,Erik,567.077691
52,84,2016,Erik,1131.443185
76,114,2016,Erik,1512.80086
42,46,2016,Erik,750.104531
81,121,2016,Erik,1593.017454
49,80,2016,Erik,1075.703409
38,50,2016,Erik,768.468937
97,153,2016,Erik,1868.993191
25,31,2016,Erik,489.347014
64,78,2016,Erik,1163.017341
85,125,2016,Erik,1640.450626
89,122,2016,Erik,1626.218221
58,81,2016,Erik,1163.485733
101,157,2016,Erik,1911.697588
46,61,2016,Erik,916.016334
29,27,2016,Erik,467.949173
69,100,2016,Erik,1371.346956
72,109,2016,Erik,1451.983391
73,97,2016,Erik,1365.151395
19,29,2016,Erik,404.843408
93,126,2016,Erik,1665.404991
61,85,2016,Erik,1210.144406
62,93,2016,Erik,1272.740444
30,42,2016,Erik,625.810383
52,83,2016,Erik,1126.675378
34,57,2016,Erik,758.470729
17,23,2016,Erik,337.110867
76,105,2016,Erik,1445.001191
77,117,2016,Erik,1538.127735
23,25,2016,Erik,413.907293
81,114,2016,Erik,1538.693261
82,128,2016,Erik,1645.553951
49,73,2016,Erik,1029.939205
55,87,2016,Erik,1173.613374
38,53,2016,Erik,788.4132
97,146,2016,Erik,1826.75425
43,58,2016,Erik,867.907381
11,21,2016,Erik,231.036358
58,88,2016,Erik,1208.672485
96,155,2016,Erik,1874.148802
46,68,2016,Erik,967.633863
68,81,2016,Erik,1203.169334
51,59,2016,Erik,925.395717
73,106,2016,Erik,1438.012914
19,34,2016,Erik,425.211242
27,34,2016,Erik,534.125465
30,45,2016,Erik,644.437759
34,48,2016,Erik,712.842626
55,63,2016,Erik,977.796561
76,96,2016,Erik,1366.053209
77,110,2016,Erik,1488.646174
23,22,2016,Erik,377.101661
81,107,2016,Erik,1476.375188
82,123,2016,Erik,1614.239098
49,66,2016,Erik,979.403585
50,80,2016,Erik,1090.28688
35,51,2016,Erik,742.383935
74,90,2016,Erik,1304.039249
75,88,2016,Erik,1282.952083
38,44,2016,Erik,708.129465
43,51,2016,Erik,809.221878
64,92,2016,Erik,1281.591191
11,10,2016,Erik,163.076643
90,122,2016,Erik,1628.598612
96,146,2016,Erik,1823.351195
78,102,2016,Erik,1426.251121
43,64,2016,Erik,908.740608
47,71,2016,Erik,995.199651
68,88,2016,Erik,1270.138654
69,86,2016,Erik,1253.699207
5,4,2016,Erik,56.313708
62,79,2016,Erik,1165.485084
47,52,2016,Erik,839.003292
77,103,2016,Erik,1430.575103
81,108,2016,Erik,1486.726206
82,114,2016,Erik,1543.17531
50,75,2016,Erik,1055.694461
35,56,2016,Erik,768.215566
38,39,2016,Erik,649.566258
64,83,2016,Erik,1211.771361
65,91,2016,Erik,1278.364741
14,12,2016,Erik,206.042618
39,60,2016,Erik,839.199308
78,105,2016,Erik,1451.801684
79,101,2016,Erik,1416.65842
44,73,2016,Erik,969.411405
47,76,2016,Erik,1025.550526
69,95,2016,Erik,1331.61919
2,8,2016,Erik,29.95137
24,37,2016,Erik,516.049628
5,13,2016,Erik,89.579423
61,96,2016,Erik,1281.771637
102,153,2016,Erik,1891.580859
47,61,2016,Erik,922.539443
30,31,2016,Erik,525.229303
20,17,2016,Erik,296.128167
77,96,2016,Erik,1366.366787
23,36,2016,Erik,496.046111
81,101,2016,Erik,1418.938807
82,109,2016,Erik,1497.701526
50,66,2016,Erik,988.682194
31,36,2016,Erik,583.405023
18,27,2016,Erik,378.898107
91,140,2016,Erik,1759.857723
75,86,2016,Erik,1261.647406
40,52,2016,Erik,799.726953
65,92,2016,Erik,1287.108692
14,23,2016,Erik,294.257611
39,53,2016,Erik,796.86675
78,112,2016,Erik,1509.834873
79,98,2016,Erik,1388.36406
26,26,2016,Erik,447.698234
44,64,2016,Erik,920.941029
83,103,2016,Erik,1439.477698
98,156,2016,Erik,1892.104706
12,25,2016,Erik,261.039292
68,78,2016,Erik,1169.535778
69,88,2016,Erik,1271.925203
56,67,2016,Erik,1024.616404
2,3,2016,Erik,27.56069
66,100,2016,Erik,1350.789579
47,58,2016,Erik,897.789562
52,55,2016,Erik,883.489022
20,24,2016,Erik,380.960002
59,79,2016,Erik,1150.818142
82,100,2016,Erik,1411.653659
28,40,2016,Erik,590.408106
32,43,2016,Erik,652.17115
31,45,2016,Erik,655.464476
35,38,2016,Erik,625.472025
18,18,2016,Erik,306.716989
91,133,2016,Erik,1712.920624
40,59,2016,Erik,845.387767
8,4,2016,Erik,58.682537
65,85,2016,Erik,1230.951757
53,65,2016,Erik,991.922908
39,50,2016,Erik,775.544656
95,145,2016,Erik,1811.284487
78,123,2016,Erik,1585.053634
79,107,2016,Erik,1471.17567
44,63,2016,Erik,913.070873
98,151,2016,Erik,1863.366734
83,108,2016,Erik,1489.927422
48,58,2016,Erik,905.139849
12,16,2016,Erik,231.62775
56,74,2016,Erik,1092.72222
62,96,2016,Erik,1292.013822
86,122,2016,Erik,1621.209072
89,134,2016,Erik,1712.450368
52,62,2016,Erik,961.337491
60,78,2016,Erik,1148.920197
28,39,2016,Erik,582.615654
32,34,2016,Erik,569.279356
31,42,2016,Erik,634.653217
35,47,2016,Erik,711.965072
8,11,2016,Erik,143.763518
63,80,2016,Erik,1179.152777
53,74,2016,Erik,1072.57763
36,54,2016,Erik,773.213871
54,72,2016,Erik,1063.887032
39,43,2016,Erik,699.40117
79,112,2016,Erik,1513.615312
44,54,2016,Erik,844.791358
83,117,2016,Erik,1569.700692
12,15,2016,Erik,223.124198
56,81,2016,Erik,1149.681136
86,125,2016,Erik,1644.522838
89,143,2016,Erik,1763.763692
59,93,2016,Erik,1244.440734
6,9,2016,Erik,106.502626
88,134,2016,Erik,1708.667077
70,106,2016,Erik,1419.279951
91,147,2016,Erik,1798.887314
40,41,2016,Erik,679.943567
63,89,2016,Erik,1250.441593
53,83,2016,Erik,1135.780797
36,61,2016,Erik,802.177338
54,67,2016,Erik,1016.864467
79,121,2016,Erik,1579.699361
83,122,2016,Erik,1610.75103
56,88,2016,Erik,1190.226248
27,28,2016,Erik,476.829375
67,101,2016,Erik,1363.626264
86,116,2016,Erik,1569.400208
87,126,2016,Erik,1654.680585
89,144,2016,Erik,1769.681396
91,123,2016,Erik,1636.584208
59,82,2016,Erik,1177.913818
60,92,2016,Erik,1250.049745
25,38,2016,Erik,535.821754
32,48,2016,Erik,690.20608
88,141,2016,Erik,1746.924527
74,96,2016,Erik,1361.522229
75,114,2016,Erik,1504.783147
93,132,2016,Erik,1711.701849
21,18,2016,Erik,312.525113
48,80,2016,Erik,1062.818595
72,86,2016,Erik,1261.042638
36,36,2016,Erik,606.911474
54,90,2016,Erik,1176.896086
92,137,2016,Erik,1745.146604
41,55,2016,Erik,828.373679
95,140,2016,Erik,1777.812637
88,118,2016,Erik,1590.28064
15,16,2016,Erik,262.9164
41,64,2016,Erik,885.328275
86,143,2016,Erik,1741.688756
87,119,2016,Erik,1595.870928
60,91,2016,Erik,1242.772008
70,100,2016,Erik,1378.124648
71,110,2016,Erik,1450.160303
74,107,2016,Erik,1451.249712
75,107,2016,Erik,1455.750939
21,27,2016,Erik,415.498107
80,126,2016,Erik,1621.050644
63,79,2016,Erik,1168.153629
29,43,2016,Erik,618.230229
33,40,2016,Erik,634.341963
72,93,2016,Erik,1327.074981
36,35,2016,Erik,591.226786
41,56,2016,Erik,836.447957
9,7,2016,Erik,111.419836
88,125,2016,Erik,1649.999847
15,25,2016,Erik,319.23209
45,60,2016,Erik,900.134635
49,57,2016,Erik,897.833512
67,83,2016,Erik,1220.227251
13,19,2016,Erik,259.21121
86,134,2016,Erik,1697.797218
3,5,2016,Erik,41.27774
59,96,2016,Erik,1260.311892
60,82,2016,Erik,1185.137139
70,95,2016,Erik,1337.299522
71,103,2016,Erik,1404.433863
90,131,2016,Erik,1696.41091
75,96,2016,Erik,1362.770662
21,36,2016,Erik,464.632001
80,117,2016,Erik,1558.003211
48,78,2016,Erik,1051.690871
29,36,2016,Erik,569.211665
33,33,2016,Erik,558.915068
73,90,2016,Erik,1301.049134
36,42,2016,Erik,675.577081
54,84,2016,Erik,1151.568118
78,94,2016,Erik,1348.351621
9,8,2016,Erik,128.219705
84,129,2016,Erik,1660.12832
37,53,2016,Erik,776.836692
77,94,2016,Erik,1346.367741
24,22,2016,Erik,381.976197
42,64,2016,Erik,898.836237
45,53,2016,Erik,838.959372
66,90,2016,Erik,1278.020575
67,88,2016,Erik,1264.677499
13,12,2016,Erik,200.528593
3,10,2016,Erik,45.599246
45,70,2016,Erik,967.226402
84,103,2016,Erik,1440.791874
70,86,2016,Erik,1257.628
71,92,2016,Erik,1314.87058
90,138,2016,Erik,1743.079522
57,67,2016,Erik,1026.509046
80,108,2016,Erik,1485.023035
7,14,2016,Erik,138.789432
48,69,2016,Erik,993.210597
94,150,2016,Erik,1836.056233
41,42,2016,Erik,695.399813
79,93,2016,Erik,1335.780374
84,136,2016,Erik,1694.7105
51,65,2016,Erik,983.196041
37,62,2016,Erik,821.235292
24,29,2016,Erik,464.290854
10,16,2016,Erik,201.549821
66,85,2016,Erik,1235.887426
83,135,2016,Erik,1681.397622
28,25,2016,Erik,435.505347
84,110,2016,Erik,1511.124351
71,85,2016,Erik,1247.27949
57,68,2016,Erik,1038.081237
80,99,2016,Erik,1399.107394
26,35,2016,Erik,530.930226
7,7,2016,Erik,104.658703
99,148,2016,Erik,1847.586161
33,51,2016,Erik,718.027273
16,21,2016,Erik,313.01785
72,114,2016,Erik,1481.36136
22,31,2016,Erik,457.399583
81,132,2016,Erik,1654.037924
51,70,2016,Erik,1026.330801
37,39,2016,Erik,644.952918
42,50,2016,Erik,796.511835
84,117,2016,Erik,1573.140106
87,136,2016,Erik,1713.458522
71,82,2016,Erik,1217.738836
57,77,2016,Erik,1122.182265
58,69,2016,Erik,1051.661392
26,42,2016,Erik,571.995872
33,52,2016,Erik,723.434175
16,12,2016,Erik,209.406366
54,57,2016,Erik,908.065836
22,22,2016,Erik,375.475229
61,73,2016,Erik,1100.573033
103,153,2016,Erik,1893.93048
51,79,2016,Erik,1091.658017
34,45,2016,Erik,686.952249
52,71,2016,Erik,1041.262939
42,61,2016,Erik,879.448425
67,79,2016,Erik,1177.234318
55,75,2016,Erik,1093.142752
65,101,2016,Erik,1346.871912
84,124,2016,Erik,1630.587743
85,106,2016,Erik,1471.259492
50,60,2016,Erik,934.570299
87,129,2016,Erik,1672.370741
57,86,2016,Erik,1187.776991
58,76,2016,Erik,1121.01417
46,48,2016,Erik,788.81883
68,101,2016,Erik,1371.777181
72,96,2016,Erik,1355.013979
94,139,2016,Erik,1767.025995
62,80,2016,Erik,1176.608962
51,84,2016,Erik,1119.419254
34,36,2016,Erik,600.32282
52,78,2016,Erik,1095.942957
37,41,2016,Erik,667.551892
76,116,2016,Erik,1526.117916
10,13,2016,Erik,182.97103
85,130,2016,Erik,1670.090795
55,64,2016,Erik,989.763563
38,56,2016,Erik,807.820938
84,123,2016,Erik,1622.192604
85,115,2016,Erik,1556.753162
50,55,2016,Erik,881.709719
58,87,2016,Erik,1202.0328
96,142,2016,Erik,1796.424499
46,59,2016,Erik,899.918947
72,103,2016,Erik,1410.634315
19,23,2016,Erik,359.15305
22,32,2016,Erik,464.26182
61,91,2016,Erik,1250.372191
62,91,2016,Erik,1258.966675
30,32,2016,Erik,538.11969
52,85,2016,Erik,1134.392986
17,29,2016,Erik,371.840359
76,115,2016,Erik,1518.559592
42,47,2016,Erik,760.50424
81,120,2016,Erik,1586.146759
85,139,2016,Erik,1713.765885
55,89,2016,Erik,1182.512813
38,51,2016,Erik,774.827654
97,152,2016,Erik,1864.025467
25,30,2016,Erik,482.076571
64,79,2016,Erik,1172.360444
85,124,2016,Erik,1633.289745
89,121,2016,Erik,1616.559418
1,5,2016,Erik,5.769853
101,156,2016,Erik,1906.320009
46,66,2016,Erik,954.321846
29,26,2016,Erik,452.870225
51,53,2016,Erik,858.691696
69,99,2016,Erik,1363.313347
72,110,2016,Erik,1458.701386
73,96,2016,Erik,1357.232842
19,28,2016,Erik,400.199589
61,84,2016,Erik,1203.886253
27,44,2016,Erik,596.310504
30,43,2016,Erik,631.329617
34,54,2016,Erik,747.560846
17,22,2016,Erik,331.281941
76,106,2016,Erik,1454.13165
77,116,2016,Erik,1532.060945
23,24,2016,Erik,403.364899
81,113,2016,Erik,1529.404186
82,129,2016,Erik,1649.389714
49,72,2016,Erik,1024.13112
55,86,2016,Erik,1169.505029
38,42,2016,Erik,686.288235
40,64,2016,Erik,873.847799
43,61,2016,Erik,888.280184
11,20,2016,Erik,229.35916
58,89,2016,Erik,1213.122305
46,69,2016,Erik,972.640624
68,82,2016,Erik,1215.33035
51,58,2016,Erik,916.125642
27,37,2016,Erik,555.233682
100,152,2016,Erik,1878.923178
34,49,2016,Erik,718.660592
17,15,2016,Erik,258.317185
55,62,2016,Erik,967.808968
76,97,2016,Erik,1374.318942
77,109,2016,Erik,1480.19783
81,106,2016,Erik,1468.412057
82,120,2016,Erik,1592.195519
49,65,2016,Erik,970.365722
50,81,2016,Erik,1095.490563
31,49,2016,Erik,680.676774
35,50,2016,Erik,737.255834
74,91,2016,Erik,1312.73583
75,91,2016,Erik,1313.05727
38,45,2016,Erik,716.988336
43,50,2016,Erik,800.598349
8,16,2016,Erik,168.952563
64,93,2016,Erik,1287.951068
11,13,2016,Erik,193.523867
14,10,2016,Erik,172.013772
90,123,2016,Erik,1636.660652
96,147,2016,Erik,1829.044279
78,103,2016,Erik,1434.268073
43,67,2016,Erik,925.239158
98,139,2016,Erik,1778.294782
46,76,2016,Erik,1013.329624
47,70,2016,Erik,989.756555
68,89,2016,Erik,1277.411902
69,85,2016,Erik,1243.429107
5,3,2016,Erik,37.737311
62,76,2016,Erik,1136.834983
47,55,2016,Erik,868.751463
77,102,2016,Erik,1422.607973
81,99,2016,Erik,1398.854892
82,115,2016,Erik,1550.643717
50,72,2016,Erik,1035.525464
64,84,2016,Erik,1220.755063
65,90,2016,Erik,1271.452676
14,13,2016,Erik,219.357424
39,63,2016,Erik,853.936614
78,110,2016,Erik,1494.206716
79,100,2016,Erik,1407.95016
69,94,2016,Erik,1324.37256
24,38,2016,Erik,522.540678
5,12,2016,Erik,89.584422
47,60,2016,Erik,915.268032
30,28,2016,Erik,486.965191
20,18,2016,Erik,313.121918
59,73,2016,Erik,1094.483769
81,100,2016,Erik,1410.338298
82,106,2016,Erik,1471.071657
50,67,2016,Erik,995.625293
31,39,2016,Erik,609.650068
18,24,2016,Erik,359.336032
91,143,2016,Erik,1777.15716
40,53,2016,Erik,806.461275
65,83,2016,Erik,1214.240483
14,20,2016,Erik,283.428998
53,71,2016,Erik,1046.745502
39,52,2016,Erik,790.330235
78,113,2016,Erik,1516.297978
79,109,2016,Erik,1487.974762
26,27,2016,Erik,458.386719
44,65,2016,Erik,926.089398
68,79,2016,Erik,1179.892891
56,68,2016,Erik,1036.122544
66,101,2016,Erik,1356.206734
20,25,2016,Erik,388.374818
59,78,2016,Erik,1142.814595
82,101,2016,Erik,1420.475083
28,41,2016,Erik,594.994258
32,44,2016,Erik,661.598392
31,44,2016,Erik,649.561098
35,41,2016,Erik,656.327572
18,19,2016,Erik,315.504431
74,116,2016,Erik,1510.040068
91,132,2016,Erik,1706.390908
40,60,2016,Erik,852.215905
110,160,2016,Erik,1958.520915
8,5,2016,Erik,75.553036
65,84,2016,Erik,1223.263388
53,64,2016,Erik,983.316619
39,45,2016,Erik,721.374145
95,144,2016,Erik,1805.332914
78,120,2016,Erik,1567.002965
79,106,2016,Erik,1463.247643
44,56,2016,Erik,861.936525
98,148,2016,Erik,1844.785272
83,111,2016,Erik,1516.93084
48,59,2016,Erik,913.06929
12,17,2016,Erik,235.283051
56,75,2016,Erik,1100.215725
62,97,2016,Erik,1297.042672
86,123,2016,Erik,1628.565847
89,133,2016,Erik,1705.583458
52,63,2016,Erik,969.582999
56,58,2016,Erik,922.225016
